[03/06/2024][08:09:30]  | -system start log[03/06/2024][08:12:05]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][08:12:05]  | -system -Write Ranking[03/06/2024][08:12:05]  | -system -Write Ranking[03/06/2024][08:14:37]  | -system Read 714 ranking entries in 1.3 seconds.
[03/06/2024][08:14:37]  | -system -Write Ranking[03/06/2024][08:14:37]  | -system -Write Ranking[03/06/2024][08:17:09]  | -system Read 714 ranking entries in 1.3 seconds.
[03/06/2024][08:17:09]  | -system -Write Ranking[03/06/2024][08:17:09]  | -system -Write Ranking[03/06/2024][08:19:41]  | -system Read 714 ranking entries in 1.3 seconds.
[03/06/2024][08:19:41]  | -system -Write Ranking[03/06/2024][08:19:41]  | -system -Write Ranking[03/06/2024][08:22:13]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:22:13]  | -system -Write Ranking[03/06/2024][08:22:13]  | -system -Write Ranking[03/06/2024][08:24:45]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:24:45]  | -system -Write Ranking[03/06/2024][08:24:45]  | -system -Write Ranking[03/06/2024][08:27:17]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][08:27:17]  | -system -Write Ranking[03/06/2024][08:27:17]  | -system -Write Ranking[03/06/2024][08:29:49]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][08:29:49]  | -system -Write Ranking[03/06/2024][08:29:49]  | -system -Write Ranking[03/06/2024][08:32:23]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:32:23]  | -system -Write Ranking[03/06/2024][08:32:23]  | -system -Write Ranking[03/06/2024][08:34:55]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:34:55]  | -system -Write Ranking[03/06/2024][08:34:55]  | -system -Write Ranking[03/06/2024][08:37:27]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:37:27]  | -system -Write Ranking[03/06/2024][08:37:27]  | -system -Write Ranking[03/06/2024][08:40:03]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][08:40:03]  | -system -Write Ranking[03/06/2024][08:40:03]  | -system -Write Ranking[03/06/2024][08:42:35]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:42:35]  | -system -Write Ranking[03/06/2024][08:42:35]  | -system -Write Ranking[03/06/2024][08:45:07]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:45:07]  | -system -Write Ranking[03/06/2024][08:45:07]  | -system -Write Ranking[03/06/2024][08:47:39]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][08:47:39]  | -system -Write Ranking[03/06/2024][08:47:39]  | -system -Write Ranking[03/06/2024][08:50:20]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][08:50:20]  | -system -Write Ranking[03/06/2024][08:50:20]  | -system -Write Ranking[03/06/2024][08:52:53]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:52:53]  | -system -Write Ranking[03/06/2024][08:52:53]  | -system -Write Ranking[03/06/2024][08:55:25]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:55:25]  | -system -Write Ranking[03/06/2024][08:55:25]  | -system -Write Ranking[03/06/2024][08:57:57]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][08:57:57]  | -system -Write Ranking[03/06/2024][08:57:57]  | -system -Write Ranking[03/06/2024][09:00:32]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:00:32]  | -system -Write Ranking[03/06/2024][09:00:32]  | -system -Write Ranking[03/06/2024][09:03:04]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:03:04]  | -system -Write Ranking[03/06/2024][09:03:04]  | -system -Write Ranking[03/06/2024][09:05:36]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:05:36]  | -system -Write Ranking[03/06/2024][09:05:36]  | -system -Write Ranking[03/06/2024][09:08:14]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:08:14]  | -system -Write Ranking[03/06/2024][09:08:14]  | -system -Write Ranking[03/06/2024][09:10:46]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:10:46]  | -system -Write Ranking[03/06/2024][09:10:46]  | -system -Write Ranking[03/06/2024][09:13:20]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:13:20]  | -system -Write Ranking[03/06/2024][09:13:20]  | -system -Write Ranking[03/06/2024][09:15:54]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:15:54]  | -system -Write Ranking[03/06/2024][09:15:54]  | -system -Write Ranking[03/06/2024][09:18:27]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][09:18:27]  | -system -Write Ranking[03/06/2024][09:18:27]  | -system -Write Ranking[03/06/2024][09:21:00]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][09:21:00]  | -system -Write Ranking[03/06/2024][09:21:00]  | -system -Write Ranking[03/06/2024][09:23:42]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:23:42]  | -system -Write Ranking[03/06/2024][09:23:42]  | -system -Write Ranking[03/06/2024][09:26:16]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:26:16]  | -system -Write Ranking[03/06/2024][09:26:16]  | -system -Write Ranking[03/06/2024][09:28:48]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:28:48]  | -system -Write Ranking[03/06/2024][09:28:48]  | -system -Write Ranking[03/06/2024][09:31:20]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:31:20]  | -system -Write Ranking[03/06/2024][09:31:20]  | -system -Write Ranking[03/06/2024][09:33:58]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][09:33:58]  | -system -Write Ranking[03/06/2024][09:33:58]  | -system -Write Ranking[03/06/2024][09:36:32]  | -system Read 714 ranking entries in 1.33 seconds.
[03/06/2024][09:36:32]  | -system -Write Ranking[03/06/2024][09:36:32]  | -system -Write Ranking[03/06/2024][09:39:04]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:39:04]  | -system -Write Ranking[03/06/2024][09:39:04]  | -system -Write Ranking[03/06/2024][09:41:36]  | -system Read 714 ranking entries in 1.2 seconds.
[03/06/2024][09:41:36]  | -system -Write Ranking[03/06/2024][09:41:36]  | -system -Write Ranking[03/06/2024][09:44:08]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][09:44:08]  | -system -Write Ranking[03/06/2024][09:44:08]  | -system -Write Ranking[03/06/2024][09:46:45]  | -system Read 715 ranking entries in 1.18 seconds.
[03/06/2024][09:46:45]  | -system -Write Ranking[03/06/2024][09:46:45]  | -system -Write Ranking[03/06/2024][09:49:17]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][09:49:17]  | -system -Write Ranking[03/06/2024][09:49:17]  | -system -Write Ranking[03/06/2024][09:51:57]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][09:51:57]  | -system -Write Ranking[03/06/2024][09:51:57]  | -system -Write Ranking[03/06/2024][09:54:29]  | -system Read 715 ranking entries in 0.46 seconds.
[03/06/2024][09:54:29]  | -system -Write Ranking[03/06/2024][09:54:29]  | -system -Write Ranking[03/06/2024][09:57:01]  | -system Read 715 ranking entries in 1.18 seconds.
[03/06/2024][09:57:01]  | -system -Write Ranking[03/06/2024][09:57:01]  | -system -Write Ranking[03/06/2024][09:59:33]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][09:59:33]  | -system -Write Ranking[03/06/2024][09:59:33]  | -system -Write Ranking[03/06/2024][10:02:05]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:02:05]  | -system -Write Ranking[03/06/2024][10:02:05]  | -system -Write Ranking[03/06/2024][10:04:39]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:04:39]  | -system -Write Ranking[03/06/2024][10:04:39]  | -system -Write Ranking[03/06/2024][10:07:11]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:07:11]  | -system -Write Ranking[03/06/2024][10:07:11]  | -system -Write Ranking[03/06/2024][10:09:43]  | -system Read 715 ranking entries in 1.34 seconds.
[03/06/2024][10:09:43]  | -system -Write Ranking[03/06/2024][10:09:43]  | -system -Write Ranking[03/06/2024][10:12:15]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:12:15]  | -system -Write Ranking[03/06/2024][10:12:15]  | -system -Write Ranking[03/06/2024][10:14:51]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:14:51]  | -system -Write Ranking[03/06/2024][10:14:51]  | -system -Write Ranking[03/06/2024][10:17:23]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:17:23]  | -system -Write Ranking[03/06/2024][10:17:23]  | -system -Write Ranking[03/06/2024][10:19:55]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:19:55]  | -system -Write Ranking[03/06/2024][10:19:55]  | -system -Write Ranking[03/06/2024][10:22:27]  | -system Read 715 ranking entries in 1.18 seconds.
[03/06/2024][10:22:27]  | -system -Write Ranking[03/06/2024][10:22:27]  | -system -Write Ranking[03/06/2024][10:24:59]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:24:59]  | -system -Write Ranking[03/06/2024][10:24:59]  | -system -Write Ranking[03/06/2024][10:27:33]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:27:33]  | -system -Write Ranking[03/06/2024][10:27:33]  | -system -Write Ranking[03/06/2024][10:30:05]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:30:05]  | -system -Write Ranking[03/06/2024][10:30:05]  | -system -Write Ranking[03/06/2024][10:32:37]  | -system Read 715 ranking entries in 2.5 seconds.
[03/06/2024][10:32:37]  | -system -Write Ranking[03/06/2024][10:32:37]  | -system -Write Ranking[03/06/2024][10:35:12]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:35:13]  | -system -Write Ranking[03/06/2024][10:35:13]  | -system -Write Ranking[03/06/2024][10:37:44]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:37:44]  | -system -Write Ranking[03/06/2024][10:37:44]  | -system -Write Ranking[03/06/2024][10:40:19]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:40:19]  | -system -Write Ranking[03/06/2024][10:40:19]  | -system -Write Ranking[03/06/2024][10:42:57]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:42:57]  | -system -Write Ranking[03/06/2024][10:42:57]  | -system -Write Ranking[03/06/2024][10:45:32]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:45:32]  | -system -Write Ranking[03/06/2024][10:45:32]  | -system -Write Ranking[03/06/2024][10:48:04]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:48:04]  | -system -Write Ranking[03/06/2024][10:48:04]  | -system -Write Ranking[03/06/2024][10:50:36]  | -system Read 715 ranking entries in 1.18 seconds.
[03/06/2024][10:50:36]  | -system -Write Ranking[03/06/2024][10:50:36]  | -system -Write Ranking[03/06/2024][10:53:08]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:53:08]  | -system -Write Ranking[03/06/2024][10:53:08]  | -system -Write Ranking[03/06/2024][10:55:44]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][10:55:44]  | -system -Write Ranking[03/06/2024][10:55:44]  | -system -Write Ranking[03/06/2024][10:58:22]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][10:58:22]  | -system -Write Ranking[03/06/2024][10:58:22]  | -system -Write Ranking[03/06/2024][10:59:29]  | -system err wsa_accept request from  45.141.87.83[03/06/2024][10:59:29]  | -system err wsa_read unregistered game server socket[03/06/2024][11:00:56]  | -system Read 715 ranking entries in 1.3 seconds.
[03/06/2024][11:00:56]  | -system -Write Ranking[03/06/2024][11:00:56]  | -system -Write Ranking[03/06/2024][11:03:28]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][11:03:28]  | -system -Write Ranking[03/06/2024][11:03:28]  | -system -Write Ranking[03/06/2024][11:06:02]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][11:06:02]  | -system -Write Ranking[03/06/2024][11:06:02]  | -system -Write Ranking[03/06/2024][11:08:34]  | -system Read 715 ranking entries in 1.2 seconds.
[03/06/2024][11:08:34]  | -system -Write Ranking[03/06/2024][11:08:34]  | -system -Write Ranking[03/06/2024][11:11:11]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:11:11]  | -system -Write Ranking[03/06/2024][11:11:11]  | -system -Write Ranking[03/06/2024][11:13:46]  | -system Read 716 ranking entries in 1.18 seconds.
[03/06/2024][11:13:46]  | -system -Write Ranking[03/06/2024][11:13:46]  | -system -Write Ranking[03/06/2024][11:16:18]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:16:18]  | -system -Write Ranking[03/06/2024][11:16:18]  | -system -Write Ranking[03/06/2024][11:18:57]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:18:57]  | -system -Write Ranking[03/06/2024][11:18:57]  | -system -Write Ranking[03/06/2024][11:21:38]  | -system Read 716 ranking entries in 1.18 seconds.
[03/06/2024][11:21:38]  | -system -Write Ranking[03/06/2024][11:21:38]  | -system -Write Ranking[03/06/2024][11:24:10]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:24:10]  | -system -Write Ranking[03/06/2024][11:24:10]  | -system -Write Ranking[03/06/2024][11:26:43]  | -system Read 716 ranking entries in 1.18 seconds.
[03/06/2024][11:26:43]  | -system -Write Ranking[03/06/2024][11:26:43]  | -system -Write Ranking[03/06/2024][11:29:15]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:29:15]  | -system -Write Ranking[03/06/2024][11:29:15]  | -system -Write Ranking[03/06/2024][11:31:54]  | -system Read 716 ranking entries in 36.8 seconds.
[03/06/2024][11:31:55]  | -system -Write Ranking[03/06/2024][11:31:55]  | -system -Write Ranking[03/06/2024][11:34:27]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:34:27]  | -system -Write Ranking[03/06/2024][11:34:27]  | -system -Write Ranking[03/06/2024][11:37:06]  | -system Read 716 ranking entries in 1.18 seconds.
[03/06/2024][11:37:06]  | -system -Write Ranking[03/06/2024][11:37:06]  | -system -Write Ranking[03/06/2024][11:39:38]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:39:38]  | -system -Write Ranking[03/06/2024][11:39:38]  | -system -Write Ranking[03/06/2024][11:42:13]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:42:13]  | -system -Write Ranking[03/06/2024][11:42:13]  | -system -Write Ranking[03/06/2024][11:44:45]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:44:45]  | -system -Write Ranking[03/06/2024][11:44:45]  | -system -Write Ranking[03/06/2024][11:47:17]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:47:17]  | -system -Write Ranking[03/06/2024][11:47:17]  | -system -Write Ranking[03/06/2024][11:49:49]  | -system Read 716 ranking entries in 1.2 seconds.
[03/06/2024][11:49:49]  | -system -Write Ranking[03/06/2024][11:49:49]  | -system -Write Ranking[03/06/2024][11:52:21]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][11:52:21]  | -system -Write Ranking[03/06/2024][11:52:21]  | -system -Write Ranking[03/06/2024][11:54:53]  | -system Read 717 ranking entries in 1.18 seconds.
[03/06/2024][11:54:53]  | -system -Write Ranking[03/06/2024][11:54:53]  | -system -Write Ranking[03/06/2024][11:57:26]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][11:57:26]  | -system -Write Ranking[03/06/2024][11:57:26]  | -system -Write Ranking[03/06/2024][11:59:58]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][11:59:58]  | -system -Write Ranking[03/06/2024][11:59:58]  | -system -Write Ranking[03/06/2024][12:02:30]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:02:30]  | -system -Write Ranking[03/06/2024][12:02:30]  | -system -Write Ranking[03/06/2024][12:05:02]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:05:02]  | -system -Write Ranking[03/06/2024][12:05:02]  | -system -Write Ranking[03/06/2024][12:07:34]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:07:34]  | -system -Write Ranking[03/06/2024][12:07:34]  | -system -Write Ranking[03/06/2024][12:10:06]  | -system Read 717 ranking entries in 1.2 seconds.
