[20/05/2024][18:17:25]  | -system start log[20/05/2024][18:19:57]  | -system Read 280 ranking entries in 0.16 seconds.
[20/05/2024][18:19:57]  | -system -Write Ranking[20/05/2024][18:19:57]  | -system -Write Ranking[20/05/2024][18:22:30]  | -system Read 280 ranking entries in 19.30 seconds.
[20/05/2024][18:22:30]  | -system -Write Ranking[20/05/2024][18:22:30]  | -system -Write Ranking[20/05/2024][18:25:02]  | -system Read 280 ranking entries in 19.46 seconds.
[20/05/2024][18:25:03]  | -system -Write Ranking[20/05/2024][18:25:03]  | -system -Write Ranking[20/05/2024][18:27:33]  | -system Read 280 ranking entries in 0.31 seconds.
[20/05/2024][18:27:33]  | -system -Write Ranking[20/05/2024][18:27:33]  | -system -Write Ranking[20/05/2024][18:30:05]  | -system Read 280 ranking entries in 0.31 seconds.
[20/05/2024][18:30:05]  | -system -Write Ranking[20/05/2024][18:30:05]  | -system -Write Ranking[20/05/2024][18:31:40]  | BLOOD err createchar EEXIST[20/05/2024][18:31:55]  | CURANDEIRA err createchar EEXIST[20/05/2024][18:32:43]  | -system Read 282 ranking entries in 0.16 seconds.
[20/05/2024][18:32:43]  | -system -Write Ranking[20/05/2024][18:32:43]  | -system -Write Ranking[20/05/2024][18:35:15]  | -system Read 284 ranking entries in 0.16 seconds.
[20/05/2024][18:35:15]  | -system -Write Ranking[20/05/2024][18:35:15]  | -system -Write Ranking[20/05/2024][18:37:48]  | -system Read 284 ranking entries in 0.16 seconds.
[20/05/2024][18:37:48]  | -system -Write Ranking[20/05/2024][18:37:48]  | -system -Write Ranking[20/05/2024][18:40:20]  | -system Read 284 ranking entries in 0.16 seconds.
[20/05/2024][18:40:20]  | -system -Write Ranking[20/05/2024][18:40:20]  | -system -Write Ranking[20/05/2024][18:42:53]  | -system Read 284 ranking entries in 0.16 seconds.
[20/05/2024][18:42:53]  | -system -Write Ranking[20/05/2024][18:42:53]  | -system -Write Ranking[20/05/2024][18:45:25]  | -system Read 284 ranking entries in 0.16 seconds.
[20/05/2024][18:45:25]  | -system -Write Ranking[20/05/2024][18:45:25]  | -system -Write Ranking[20/05/2024][18:48:00]  | -system Read 284 ranking entries in 0.31 seconds.
[20/05/2024][18:48:00]  | -system -Write Ranking[20/05/2024][18:48:00]  | -system -Write Ranking[20/05/2024][18:48:48]  | curandeira err createchar EEXIST[20/05/2024][18:50:32]  | -system Read 285 ranking entries in 0.31 seconds.
[20/05/2024][18:50:32]  | -system -Write Ranking[20/05/2024][18:50:32]  | -system -Write Ranking[20/05/2024][18:53:04]  | -system Read 286 ranking entries in 0.16 seconds.
[20/05/2024][18:53:04]  | -system -Write Ranking[20/05/2024][18:53:04]  | -system -Write Ranking[20/05/2024][18:55:37]  | -system Read 286 ranking entries in 0.47 seconds.
[20/05/2024][18:55:37]  | -system -Write Ranking[20/05/2024][18:55:37]  | -system -Write Ranking[20/05/2024][18:58:11]  | -system Read 286 ranking entries in 0.31 seconds.
[20/05/2024][18:58:11]  | -system -Write Ranking[20/05/2024][18:58:11]  | -system -Write Ranking[20/05/2024][19:00:44]  | -system Read 287 ranking entries in 0.31 seconds.
