[03/06/2024][17:49:30]  | -system start log[03/06/2024][17:52:02]  | -system Read 719 ranking entries in 0.47 seconds.
[03/06/2024][17:52:02]  | -system -Write Ranking[03/06/2024][17:52:02]  | -system -Write Ranking[03/06/2024][17:54:34]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][17:54:34]  | -system -Write Ranking[03/06/2024][17:54:34]  | -system -Write Ranking[03/06/2024][17:57:06]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][17:57:06]  | -system -Write Ranking[03/06/2024][17:57:06]  | -system -Write Ranking[03/06/2024][17:59:38]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][17:59:38]  | -system -Write Ranking[03/06/2024][17:59:38]  | -system -Write Ranking[03/06/2024][18:02:16]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:02:16]  | -system -Write Ranking[03/06/2024][18:02:16]  | -system -Write Ranking[03/06/2024][18:04:48]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][18:04:48]  | -system -Write Ranking[03/06/2024][18:04:48]  | -system -Write Ranking[03/06/2024][18:07:21]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][18:07:21]  | -system -Write Ranking[03/06/2024][18:07:21]  | -system -Write Ranking[03/06/2024][18:09:57]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][18:09:57]  | -system -Write Ranking[03/06/2024][18:09:57]  | -system -Write Ranking[03/06/2024][18:12:29]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][18:12:29]  | -system -Write Ranking[03/06/2024][18:12:29]  | -system -Write Ranking[03/06/2024][18:15:01]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][18:15:01]  | -system -Write Ranking[03/06/2024][18:15:01]  | -system -Write Ranking[03/06/2024][18:17:33]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][18:17:33]  | -system -Write Ranking[03/06/2024][18:17:33]  | -system -Write Ranking[03/06/2024][18:20:05]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:20:05]  | -system -Write Ranking[03/06/2024][18:20:05]  | -system -Write Ranking[03/06/2024][18:22:38]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:22:38]  | -system -Write Ranking[03/06/2024][18:22:38]  | -system -Write Ranking[03/06/2024][18:25:12]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:25:12]  | -system -Write Ranking[03/06/2024][18:25:12]  | -system -Write Ranking[03/06/2024][18:27:44]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:27:44]  | -system -Write Ranking[03/06/2024][18:27:44]  | -system -Write Ranking[03/06/2024][18:30:17]  | -system Read 719 ranking entries in 1.18 seconds.
[03/06/2024][18:30:17]  | -system -Write Ranking[03/06/2024][18:30:17]  | -system -Write Ranking[03/06/2024][18:32:49]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:32:49]  | -system -Write Ranking[03/06/2024][18:32:49]  | -system -Write Ranking[03/06/2024][18:35:21]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:35:21]  | -system -Write Ranking[03/06/2024][18:35:21]  | -system -Write Ranking[03/06/2024][18:37:54]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:37:54]  | -system -Write Ranking[03/06/2024][18:37:54]  | -system -Write Ranking[03/06/2024][18:40:26]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:40:26]  | -system -Write Ranking[03/06/2024][18:40:26]  | -system -Write Ranking[03/06/2024][18:42:58]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:42:58]  | -system -Write Ranking[03/06/2024][18:42:58]  | -system -Write Ranking[03/06/2024][18:45:31]  | -system Read 719 ranking entries in 1.18 seconds.
[03/06/2024][18:45:31]  | -system -Write Ranking[03/06/2024][18:45:31]  | -system -Write Ranking[03/06/2024][18:48:03]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:48:03]  | -system -Write Ranking[03/06/2024][18:48:03]  | -system -Write Ranking[03/06/2024][18:50:36]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][18:50:36]  | -system -Write Ranking[03/06/2024][18:50:36]  | -system -Write Ranking[03/06/2024][18:53:08]  | -system Read 719 ranking entries in 0.46 seconds.
[03/06/2024][18:53:08]  | -system -Write Ranking[03/06/2024][18:53:08]  | -system -Write Ranking[03/06/2024][18:55:41]  | -system Read 719 ranking entries in 1.18 seconds.
[03/06/2024][18:55:41]  | -system -Write Ranking[03/06/2024][18:55:41]  | -system -Write Ranking[03/06/2024][18:58:13]  | -system Read 719 ranking entries in 1.18 seconds.
[03/06/2024][18:58:13]  | -system -Write Ranking[03/06/2024][18:58:13]  | -system -Write Ranking[03/06/2024][19:00:47]  | -system Read 719 ranking entries in 1.2 seconds.
[03/06/2024][19:00:47]  | -system -Write Ranking[03/06/2024][19:00:47]  | -system -Write Ranking[03/06/2024][19:03:19]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][19:03:19]  | -system -Write Ranking[03/06/2024][19:03:19]  | -system -Write Ranking[03/06/2024][19:05:51]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][19:05:51]  | -system -Write Ranking[03/06/2024][19:05:51]  | -system -Write Ranking[03/06/2024][19:08:23]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][19:08:23]  | -system -Write Ranking[03/06/2024][19:08:23]  | -system -Write Ranking[03/06/2024][19:10:55]  | -system Read 719 ranking entries in 1.18 seconds.
[03/06/2024][19:10:55]  | -system -Write Ranking[03/06/2024][19:10:55]  | -system -Write Ranking[03/06/2024][19:13:27]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][19:13:27]  | -system -Write Ranking[03/06/2024][19:13:27]  | -system -Write Ranking[03/06/2024][19:15:59]  | -system Read 719 ranking entries in 1.18 seconds.
[03/06/2024][19:15:59]  | -system -Write Ranking[03/06/2024][19:15:59]  | -system -Write Ranking[03/06/2024][19:18:32]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][19:18:32]  | -system -Write Ranking[03/06/2024][19:18:32]  | -system -Write Ranking[03/06/2024][19:21:04]  | -system Read 719 ranking entries in 1.3 seconds.
[03/06/2024][19:21:04]  | -system -Write Ranking[03/06/2024][19:21:04]  | -system -Write Ranking[03/06/2024][19:23:41]  | -system Read 719 ranking entries in 1.3 seconds.
