[30/05/2024][16:58:06]  | -system start log[30/05/2024][17:00:38]  | -system Read 615 ranking entries in 1.18 seconds.
[30/05/2024][17:00:38]  | -system -Write Ranking[30/05/2024][17:00:38]  | -system -Write Ranking[30/05/2024][17:03:12]  | -system Read 615 ranking entries in 1.2 seconds.
[30/05/2024][17:03:12]  | -system -Write Ranking[30/05/2024][17:03:12]  | -system -Write Ranking[30/05/2024][17:05:44]  | -system Read 615 ranking entries in 1.2 seconds.
[30/05/2024][17:05:44]  | -system -Write Ranking[30/05/2024][17:05:44]  | -system -Write Ranking[30/05/2024][17:08:16]  | -system Read 615 ranking entries in 0.46 seconds.
[30/05/2024][17:08:16]  | -system -Write Ranking[30/05/2024][17:08:16]  | -system -Write Ranking[30/05/2024][17:09:42]  | -system clo server fd 0[30/05/2024][17:10:48]  | -system Read 615 ranking entries in 0.46 seconds.
[30/05/2024][17:10:48]  | -system -Write Ranking[30/05/2024][17:10:48]  | -system -Write Ranking[30/05/2024][17:13:20]  | -system Read 615 ranking entries in 1.2 seconds.
[30/05/2024][17:13:20]  | -system -Write Ranking[30/05/2024][17:13:20]  | -system -Write Ranking[30/05/2024][17:15:30]  | -system clo server fd 0[30/05/2024][17:15:54]  | -system Read 615 ranking entries in 0.46 seconds.
[30/05/2024][17:15:54]  | -system -Write Ranking[30/05/2024][17:15:54]  | -system -Write Ranking[30/05/2024][17:18:26]  | -system Read 616 ranking entries in 0.46 seconds.
[30/05/2024][17:18:26]  | -system -Write Ranking[30/05/2024][17:18:26]  | -system -Write Ranking[30/05/2024][17:20:59]  | -system Read 617 ranking entries in 25.29 seconds.
[30/05/2024][17:20:59]  | -system -Write Ranking[30/05/2024][17:20:59]  | -system -Write Ranking[30/05/2024][17:23:31]  | -system Read 617 ranking entries in 1.2 seconds.
[30/05/2024][17:23:31]  | -system -Write Ranking[30/05/2024][17:23:31]  | -system -Write Ranking[30/05/2024][17:26:05]  | -system Read 618 ranking entries in 0.47 seconds.
[30/05/2024][17:26:05]  | -system -Write Ranking[30/05/2024][17:26:05]  | -system -Write Ranking[30/05/2024][17:28:37]  | -system Read 618 ranking entries in 0.47 seconds.
[30/05/2024][17:28:37]  | -system -Write Ranking[30/05/2024][17:28:37]  | -system -Write Ranking[30/05/2024][17:31:10]  | -system Read 618 ranking entries in 1.2 seconds.
[30/05/2024][17:31:10]  | -system -Write Ranking[30/05/2024][17:31:10]  | -system -Write Ranking[30/05/2024][17:33:42]  | -system Read 618 ranking entries in 0.47 seconds.
[30/05/2024][17:33:42]  | -system -Write Ranking[30/05/2024][17:33:42]  | -system -Write Ranking[30/05/2024][17:36:14]  | -system Read 620 ranking entries in 1.2 seconds.
[30/05/2024][17:36:14]  | -system -Write Ranking[30/05/2024][17:36:14]  | -system -Write Ranking[30/05/2024][17:38:47]  | -system Read 621 ranking entries in 1.2 seconds.
[30/05/2024][17:38:47]  | -system -Write Ranking[30/05/2024][17:38:47]  | -system -Write Ranking[30/05/2024][17:41:23]  | -system Read 622 ranking entries in 0.47 seconds.
[30/05/2024][17:41:23]  | -system -Write Ranking[30/05/2024][17:41:23]  | -system -Write Ranking[30/05/2024][17:43:55]  | -system Read 622 ranking entries in 1.2 seconds.
[30/05/2024][17:43:55]  | -system -Write Ranking[30/05/2024][17:43:55]  | -system -Write Ranking[30/05/2024][17:46:28]  | -system Read 622 ranking entries in 0.47 seconds.
[30/05/2024][17:46:28]  | -system -Write Ranking[30/05/2024][17:46:28]  | -system -Write Ranking[30/05/2024][17:49:03]  | -system Read 622 ranking entries in 1.2 seconds.
[30/05/2024][17:49:03]  | -system -Write Ranking[30/05/2024][17:49:03]  | -system -Write Ranking[30/05/2024][17:51:37]  | -system Read 622 ranking entries in 1.2 seconds.
[30/05/2024][17:51:37]  | -system -Write Ranking[30/05/2024][17:51:37]  | -system -Write Ranking[30/05/2024][17:53:56]  | -system clo server fd 0[30/05/2024][17:54:12]  | -system Read 622 ranking entries in 0.46 seconds.
[30/05/2024][17:54:12]  | -system -Write Ranking[30/05/2024][17:54:12]  | -system -Write Ranking[30/05/2024][17:56:46]  | -system Read 622 ranking entries in 1.2 seconds.
[30/05/2024][17:56:46]  | -system -Write Ranking[30/05/2024][17:56:46]  | -system -Write Ranking[30/05/2024][17:59:18]  | -system Read 622 ranking entries in 0.46 seconds.
[30/05/2024][17:59:18]  | -system -Write Ranking[30/05/2024][17:59:18]  | -system -Write Ranking[30/05/2024][18:01:54]  | -system Read 622 ranking entries in 0.46 seconds.
[30/05/2024][18:01:54]  | -system -Write Ranking[30/05/2024][18:01:54]  | -system -Write Ranking[30/05/2024][18:04:26]  | -system Read 622 ranking entries in 0.46 seconds.
[30/05/2024][18:04:26]  | -system -Write Ranking[30/05/2024][18:04:26]  | -system -Write Ranking[30/05/2024][18:06:24]  | -system clo server fd 0[30/05/2024][18:07:03]  | -system Read 622 ranking entries in 1.3 seconds.
[30/05/2024][18:07:03]  | -system -Write Ranking[30/05/2024][18:07:03]  | -system -Write Ranking[30/05/2024][18:07:04]  | -system clo server fd 0[30/05/2024][18:09:34]  | -system Read 622 ranking entries in 1.2 seconds.
[30/05/2024][18:09:34]  | -system -Write Ranking[30/05/2024][18:09:34]  | -system -Write Ranking[30/05/2024][18:12:06]  | -system Read 623 ranking entries in 1.3 seconds.
[30/05/2024][18:12:06]  | -system -Write Ranking[30/05/2024][18:12:06]  | -system -Write Ranking[30/05/2024][18:12:14]  | -system clo server fd 0[30/05/2024][18:14:38]  | -system Read 623 ranking entries in 1.34 seconds.
[30/05/2024][18:14:38]  | -system -Write Ranking[30/05/2024][18:14:38]  | -system -Write Ranking[30/05/2024][18:17:10]  | -system Read 623 ranking entries in 0.47 seconds.
[30/05/2024][18:17:10]  | -system -Write Ranking[30/05/2024][18:17:10]  | -system -Write Ranking[30/05/2024][18:19:43]  | -system Read 623 ranking entries in 1.3 seconds.
[30/05/2024][18:19:43]  | -system -Write Ranking[30/05/2024][18:19:43]  | -system -Write Ranking[30/05/2024][18:22:16]  | -system Read 623 ranking entries in 0.47 seconds.
[30/05/2024][18:22:16]  | -system -Write Ranking[30/05/2024][18:22:16]  | -system -Write Ranking[30/05/2024][18:24:00]  | ZEUS err createchar EEXIST[30/05/2024][18:24:07]  | ATHENA err createchar EEXIST[30/05/2024][18:24:48]  | -system Read 624 ranking entries in 1.18 seconds.
[30/05/2024][18:24:48]  | -system -Write Ranking[30/05/2024][18:24:48]  | -system -Write Ranking[30/05/2024][18:27:23]  | -system Read 625 ranking entries in 0.47 seconds.
[30/05/2024][18:27:23]  | -system -Write Ranking[30/05/2024][18:27:23]  | -system -Write Ranking[30/05/2024][18:29:55]  | -system Read 625 ranking entries in 1.3 seconds.
[30/05/2024][18:29:55]  | -system -Write Ranking[30/05/2024][18:29:55]  | -system -Write Ranking[30/05/2024][18:32:28]  | -system Read 625 ranking entries in 1.3 seconds.
[30/05/2024][18:32:28]  | -system -Write Ranking[30/05/2024][18:32:28]  | -system -Write Ranking[30/05/2024][18:35:00]  | -system Read 625 ranking entries in 1.3 seconds.
[30/05/2024][18:35:00]  | -system -Write Ranking[30/05/2024][18:35:00]  | -system -Write Ranking[30/05/2024][18:37:32]  | -system Read 625 ranking entries in 0.47 seconds.
[30/05/2024][18:37:32]  | -system -Write Ranking[30/05/2024][18:37:32]  | -system -Write Ranking[30/05/2024][18:40:04]  | -system Read 626 ranking entries in 1.18 seconds.
[30/05/2024][18:40:04]  | -system -Write Ranking[30/05/2024][18:40:04]  | -system -Write Ranking[30/05/2024][18:42:37]  | -system Read 626 ranking entries in 1.18 seconds.
[30/05/2024][18:42:37]  | -system -Write Ranking[30/05/2024][18:42:37]  | -system -Write Ranking[30/05/2024][18:45:09]  | -system Read 627 ranking entries in 1.2 seconds.
[30/05/2024][18:45:09]  | -system -Write Ranking[30/05/2024][18:45:09]  | -system -Write Ranking[30/05/2024][18:47:45]  | -system Read 627 ranking entries in 1.18 seconds.
[30/05/2024][18:47:45]  | -system -Write Ranking[30/05/2024][18:47:45]  | -system -Write Ranking[30/05/2024][18:50:17]  | -system Read 627 ranking entries in 1.2 seconds.
[30/05/2024][18:50:17]  | -system -Write Ranking[30/05/2024][18:50:17]  | -system -Write Ranking[30/05/2024][18:52:49]  | -system Read 627 ranking entries in 0.47 seconds.
[30/05/2024][18:52:49]  | -system -Write Ranking[30/05/2024][18:52:49]  | -system -Write Ranking[30/05/2024][18:55:21]  | -system Read 627 ranking entries in 1.2 seconds.
[30/05/2024][18:55:21]  | -system -Write Ranking[30/05/2024][18:55:21]  | -system -Write Ranking[30/05/2024][18:57:55]  | -system Read 628 ranking entries in 1.2 seconds.
