[06/06/2024][12:28:15]  | -system start log[06/06/2024][12:30:47]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:30:47]  | -system -Write Ranking[06/06/2024][12:30:47]  | -system -Write Ranking[06/06/2024][12:33:19]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:33:19]  | -system -Write Ranking[06/06/2024][12:33:19]  | -system -Write Ranking[06/06/2024][12:35:51]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:35:51]  | -system -Write Ranking[06/06/2024][12:35:51]  | -system -Write Ranking[06/06/2024][12:38:23]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:38:23]  | -system -Write Ranking[06/06/2024][12:38:23]  | -system -Write Ranking[06/06/2024][12:40:55]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:40:55]  | -system -Write Ranking[06/06/2024][12:40:55]  | -system -Write Ranking[06/06/2024][12:43:27]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:43:27]  | -system -Write Ranking[06/06/2024][12:43:27]  | -system -Write Ranking[06/06/2024][12:45:59]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:45:59]  | -system -Write Ranking[06/06/2024][12:45:59]  | -system -Write Ranking[06/06/2024][12:48:32]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:48:32]  | -system -Write Ranking[06/06/2024][12:48:32]  | -system -Write Ranking[06/06/2024][12:51:04]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:51:04]  | -system -Write Ranking[06/06/2024][12:51:04]  | -system -Write Ranking[06/06/2024][12:53:36]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:53:36]  | -system -Write Ranking[06/06/2024][12:53:36]  | -system -Write Ranking[06/06/2024][12:56:08]  | -system Read 766 ranking entries in 1.18 seconds.
[06/06/2024][12:56:08]  | -system -Write Ranking[06/06/2024][12:56:08]  | -system -Write Ranking[06/06/2024][12:58:40]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][12:58:40]  | -system -Write Ranking[06/06/2024][12:58:40]  | -system -Write Ranking[06/06/2024][13:01:12]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:01:12]  | -system -Write Ranking[06/06/2024][13:01:12]  | -system -Write Ranking[06/06/2024][13:03:44]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:03:44]  | -system -Write Ranking[06/06/2024][13:03:44]  | -system -Write Ranking[06/06/2024][13:06:16]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:06:16]  | -system -Write Ranking[06/06/2024][13:06:16]  | -system -Write Ranking[06/06/2024][13:08:48]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:08:48]  | -system -Write Ranking[06/06/2024][13:08:48]  | -system -Write Ranking[06/06/2024][13:11:20]  | -system Read 766 ranking entries in 1.18 seconds.
[06/06/2024][13:11:20]  | -system -Write Ranking[06/06/2024][13:11:20]  | -system -Write Ranking[06/06/2024][13:13:53]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:13:53]  | -system -Write Ranking[06/06/2024][13:13:53]  | -system -Write Ranking[06/06/2024][13:16:25]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:16:25]  | -system -Write Ranking[06/06/2024][13:16:25]  | -system -Write Ranking[06/06/2024][13:18:57]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:18:57]  | -system -Write Ranking[06/06/2024][13:18:57]  | -system -Write Ranking[06/06/2024][13:21:29]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:21:29]  | -system -Write Ranking[06/06/2024][13:21:29]  | -system -Write Ranking[06/06/2024][13:24:01]  | -system Read 766 ranking entries in 1.18 seconds.
[06/06/2024][13:24:01]  | -system -Write Ranking[06/06/2024][13:24:01]  | -system -Write Ranking[06/06/2024][13:26:33]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:26:33]  | -system -Write Ranking[06/06/2024][13:26:33]  | -system -Write Ranking[06/06/2024][13:29:05]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:29:05]  | -system -Write Ranking[06/06/2024][13:29:05]  | -system -Write Ranking[06/06/2024][13:31:37]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:31:37]  | -system -Write Ranking[06/06/2024][13:31:37]  | -system -Write Ranking[06/06/2024][13:34:09]  | -system Read 766 ranking entries in 1.18 seconds.
[06/06/2024][13:34:09]  | -system -Write Ranking[06/06/2024][13:34:09]  | -system -Write Ranking[06/06/2024][13:36:41]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:36:41]  | -system -Write Ranking[06/06/2024][13:36:41]  | -system -Write Ranking[06/06/2024][13:39:15]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:39:15]  | -system -Write Ranking[06/06/2024][13:39:15]  | -system -Write Ranking[06/06/2024][13:41:47]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:41:47]  | -system -Write Ranking[06/06/2024][13:41:47]  | -system -Write Ranking[06/06/2024][13:44:19]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:44:19]  | -system -Write Ranking[06/06/2024][13:44:19]  | -system -Write Ranking[06/06/2024][13:46:51]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][13:46:51]  | -system -Write Ranking[06/06/2024][13:46:51]  | -system -Write Ranking[06/06/2024][13:49:23]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:49:23]  | -system -Write Ranking[06/06/2024][13:49:23]  | -system -Write Ranking[06/06/2024][13:51:55]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:51:55]  | -system -Write Ranking[06/06/2024][13:51:55]  | -system -Write Ranking[06/06/2024][13:54:27]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:54:27]  | -system -Write Ranking[06/06/2024][13:54:27]  | -system -Write Ranking[06/06/2024][13:56:59]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][13:56:59]  | -system -Write Ranking[06/06/2024][13:56:59]  | -system -Write Ranking[06/06/2024][13:59:31]  | -system Read 766 ranking entries in 1.18 seconds.
[06/06/2024][13:59:31]  | -system -Write Ranking[06/06/2024][13:59:31]  | -system -Write Ranking[06/06/2024][14:02:03]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:02:03]  | -system -Write Ranking[06/06/2024][14:02:03]  | -system -Write Ranking[06/06/2024][14:04:36]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:04:36]  | -system -Write Ranking[06/06/2024][14:04:36]  | -system -Write Ranking[06/06/2024][14:07:08]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:07:08]  | -system -Write Ranking[06/06/2024][14:07:08]  | -system -Write Ranking[06/06/2024][14:09:40]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:09:40]  | -system -Write Ranking[06/06/2024][14:09:40]  | -system -Write Ranking[06/06/2024][14:12:12]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:12:12]  | -system -Write Ranking[06/06/2024][14:12:12]  | -system -Write Ranking[06/06/2024][14:14:44]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:14:44]  | -system -Write Ranking[06/06/2024][14:14:44]  | -system -Write Ranking[06/06/2024][14:17:16]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:17:16]  | -system -Write Ranking[06/06/2024][14:17:16]  | -system -Write Ranking[06/06/2024][14:19:48]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:19:48]  | -system -Write Ranking[06/06/2024][14:19:48]  | -system -Write Ranking[06/06/2024][14:22:20]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:22:20]  | -system -Write Ranking[06/06/2024][14:22:20]  | -system -Write Ranking[06/06/2024][14:24:52]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:24:52]  | -system -Write Ranking[06/06/2024][14:24:52]  | -system -Write Ranking[06/06/2024][14:27:24]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:27:24]  | -system -Write Ranking[06/06/2024][14:27:24]  | -system -Write Ranking[06/06/2024][14:29:57]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:29:57]  | -system -Write Ranking[06/06/2024][14:29:57]  | -system -Write Ranking[06/06/2024][14:32:29]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:32:29]  | -system -Write Ranking[06/06/2024][14:32:29]  | -system -Write Ranking[06/06/2024][14:35:01]  | -system Read 766 ranking entries in 1.18 seconds.
[06/06/2024][14:35:01]  | -system -Write Ranking[06/06/2024][14:35:01]  | -system -Write Ranking[06/06/2024][14:37:33]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:37:33]  | -system -Write Ranking[06/06/2024][14:37:33]  | -system -Write Ranking[06/06/2024][14:40:05]  | -system Read 766 ranking entries in 1.34 seconds.
[06/06/2024][14:40:05]  | -system -Write Ranking[06/06/2024][14:40:05]  | -system -Write Ranking[06/06/2024][14:42:37]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:42:37]  | -system -Write Ranking[06/06/2024][14:42:37]  | -system -Write Ranking[06/06/2024][14:45:09]  | -system Read 766 ranking entries in 1.3 seconds.
