[02/06/2024][09:13:35]  | -system start log[02/06/2024][09:16:09]  | -system Read 706 ranking entries in 1.18 seconds.
[02/06/2024][09:16:09]  | -system -Write Ranking[02/06/2024][09:16:09]  | -system -Write Ranking[02/06/2024][09:18:41]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][09:18:41]  | -system -Write Ranking[02/06/2024][09:18:41]  | -system -Write Ranking[02/06/2024][09:21:14]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][09:21:14]  | -system -Write Ranking[02/06/2024][09:21:14]  | -system -Write Ranking[02/06/2024][09:23:47]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][09:23:47]  | -system -Write Ranking[02/06/2024][09:23:47]  | -system -Write Ranking[02/06/2024][09:26:19]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][09:26:19]  | -system -Write Ranking[02/06/2024][09:26:19]  | -system -Write Ranking[02/06/2024][09:28:51]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][09:28:51]  | -system -Write Ranking[02/06/2024][09:28:51]  | -system -Write Ranking[02/06/2024][09:31:24]  | -system Read 706 ranking entries in 1.18 seconds.
[02/06/2024][09:31:24]  | -system -Write Ranking[02/06/2024][09:31:24]  | -system -Write Ranking[02/06/2024][09:33:56]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][09:33:56]  | -system -Write Ranking[02/06/2024][09:33:56]  | -system -Write Ranking[02/06/2024][09:36:28]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:36:28]  | -system -Write Ranking[02/06/2024][09:36:28]  | -system -Write Ranking[02/06/2024][09:39:00]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:39:00]  | -system -Write Ranking[02/06/2024][09:39:00]  | -system -Write Ranking[02/06/2024][09:41:32]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:41:32]  | -system -Write Ranking[02/06/2024][09:41:32]  | -system -Write Ranking[02/06/2024][09:44:07]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:44:07]  | -system -Write Ranking[02/06/2024][09:44:07]  | -system -Write Ranking[02/06/2024][09:46:42]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:46:42]  | -system -Write Ranking[02/06/2024][09:46:42]  | -system -Write Ranking[02/06/2024][09:49:14]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:49:14]  | -system -Write Ranking[02/06/2024][09:49:14]  | -system -Write Ranking[02/06/2024][09:51:46]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:51:46]  | -system -Write Ranking[02/06/2024][09:51:46]  | -system -Write Ranking[02/06/2024][09:54:18]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:54:18]  | -system -Write Ranking[02/06/2024][09:54:18]  | -system -Write Ranking[02/06/2024][09:56:53]  | -system Read 706 ranking entries in 1.18 seconds.
[02/06/2024][09:56:53]  | -system -Write Ranking[02/06/2024][09:56:53]  | -system -Write Ranking[02/06/2024][09:59:25]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][09:59:25]  | -system -Write Ranking[02/06/2024][09:59:25]  | -system -Write Ranking[02/06/2024][10:01:59]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:01:59]  | -system -Write Ranking[02/06/2024][10:01:59]  | -system -Write Ranking[02/06/2024][10:04:31]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:04:31]  | -system -Write Ranking[02/06/2024][10:04:31]  | -system -Write Ranking[02/06/2024][10:07:03]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:07:03]  | -system -Write Ranking[02/06/2024][10:07:03]  | -system -Write Ranking[02/06/2024][10:09:36]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:09:36]  | -system -Write Ranking[02/06/2024][10:09:36]  | -system -Write Ranking[02/06/2024][10:12:08]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:12:08]  | -system -Write Ranking[02/06/2024][10:12:08]  | -system -Write Ranking[02/06/2024][10:14:40]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:14:40]  | -system -Write Ranking[02/06/2024][10:14:40]  | -system -Write Ranking[02/06/2024][10:17:12]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][10:17:12]  | -system -Write Ranking[02/06/2024][10:17:12]  | -system -Write Ranking[02/06/2024][10:19:47]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][10:19:47]  | -system -Write Ranking[02/06/2024][10:19:47]  | -system -Write Ranking[02/06/2024][10:22:19]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][10:22:19]  | -system -Write Ranking[02/06/2024][10:22:19]  | -system -Write Ranking[02/06/2024][10:24:51]  | -system Read 706 ranking entries in 1.2 seconds.
[02/06/2024][10:24:51]  | -system -Write Ranking[02/06/2024][10:24:51]  | -system -Write Ranking[02/06/2024][10:27:23]  | -system Read 706 ranking entries in 1.18 seconds.
[02/06/2024][10:27:23]  | -system -Write Ranking[02/06/2024][10:27:23]  | -system -Write Ranking[02/06/2024][10:29:55]  | -system Read 706 ranking entries in 1.3 seconds.
[02/06/2024][10:29:55]  | -system -Write Ranking[02/06/2024][10:29:55]  | -system -Write Ranking[02/06/2024][10:32:28]  | -system Read 707 ranking entries in 1.18 seconds.
[02/06/2024][10:32:28]  | -system -Write Ranking[02/06/2024][10:32:28]  | -system -Write Ranking[02/06/2024][10:35:00]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][10:35:00]  | -system -Write Ranking[02/06/2024][10:35:00]  | -system -Write Ranking[02/06/2024][10:37:32]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][10:37:32]  | -system -Write Ranking[02/06/2024][10:37:32]  | -system -Write Ranking[02/06/2024][10:40:04]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][10:40:04]  | -system -Write Ranking[02/06/2024][10:40:04]  | -system -Write Ranking[02/06/2024][10:42:37]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][10:42:37]  | -system -Write Ranking[02/06/2024][10:42:37]  | -system -Write Ranking[02/06/2024][10:45:09]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][10:45:09]  | -system -Write Ranking[02/06/2024][10:45:09]  | -system -Write Ranking[02/06/2024][10:47:42]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][10:47:42]  | -system -Write Ranking[02/06/2024][10:47:42]  | -system -Write Ranking[02/06/2024][10:50:14]  | -system Read 708 ranking entries in 0.47 seconds.
[02/06/2024][10:50:14]  | -system -Write Ranking[02/06/2024][10:50:14]  | -system -Write Ranking[02/06/2024][10:52:46]  | -system Read 708 ranking entries in 1.18 seconds.
[02/06/2024][10:52:46]  | -system -Write Ranking[02/06/2024][10:52:46]  | -system -Write Ranking[02/06/2024][10:55:18]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][10:55:18]  | -system -Write Ranking[02/06/2024][10:55:18]  | -system -Write Ranking[02/06/2024][10:57:51]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][10:57:51]  | -system -Write Ranking[02/06/2024][10:57:51]  | -system -Write Ranking[02/06/2024][11:00:23]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:00:23]  | -system -Write Ranking[02/06/2024][11:00:23]  | -system -Write Ranking[02/06/2024][11:02:59]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:02:59]  | -system -Write Ranking[02/06/2024][11:02:59]  | -system -Write Ranking[02/06/2024][11:05:32]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:05:32]  | -system -Write Ranking[02/06/2024][11:05:32]  | -system -Write Ranking[02/06/2024][11:08:08]  | -system Read 708 ranking entries in 1.18 seconds.
[02/06/2024][11:08:08]  | -system -Write Ranking[02/06/2024][11:08:08]  | -system -Write Ranking[02/06/2024][11:10:43]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:10:43]  | -system -Write Ranking[02/06/2024][11:10:43]  | -system -Write Ranking[02/06/2024][11:13:16]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:13:16]  | -system -Write Ranking[02/06/2024][11:13:16]  | -system -Write Ranking[02/06/2024][11:15:48]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:15:48]  | -system -Write Ranking[02/06/2024][11:15:48]  | -system -Write Ranking[02/06/2024][11:18:21]  | -system Read 708 ranking entries in 1.33 seconds.
[02/06/2024][11:18:21]  | -system -Write Ranking[02/06/2024][11:18:21]  | -system -Write Ranking[02/06/2024][11:20:53]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:20:53]  | -system -Write Ranking[02/06/2024][11:20:53]  | -system -Write Ranking[02/06/2024][11:23:25]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:23:25]  | -system -Write Ranking[02/06/2024][11:23:25]  | -system -Write Ranking[02/06/2024][11:25:57]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:25:57]  | -system -Write Ranking[02/06/2024][11:25:57]  | -system -Write Ranking[02/06/2024][11:28:29]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:28:29]  | -system -Write Ranking[02/06/2024][11:28:29]  | -system -Write Ranking[02/06/2024][11:31:03]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:31:03]  | -system -Write Ranking[02/06/2024][11:31:03]  | -system -Write Ranking[02/06/2024][11:33:35]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:33:35]  | -system -Write Ranking[02/06/2024][11:33:35]  | -system -Write Ranking[02/06/2024][11:36:07]  | -system Read 708 ranking entries in 0.46 seconds.
[02/06/2024][11:36:07]  | -system -Write Ranking[02/06/2024][11:36:07]  | -system -Write Ranking[02/06/2024][11:38:41]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:38:41]  | -system -Write Ranking[02/06/2024][11:38:41]  | -system -Write Ranking[02/06/2024][11:41:14]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:41:14]  | -system -Write Ranking[02/06/2024][11:41:14]  | -system -Write Ranking[02/06/2024][11:43:46]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:43:46]  | -system -Write Ranking[02/06/2024][11:43:46]  | -system -Write Ranking[02/06/2024][11:46:18]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:46:18]  | -system -Write Ranking[02/06/2024][11:46:18]  | -system -Write Ranking[02/06/2024][11:48:50]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:48:50]  | -system -Write Ranking[02/06/2024][11:48:50]  | -system -Write Ranking[02/06/2024][11:51:22]  | -system Read 708 ranking entries in 1.18 seconds.
[02/06/2024][11:51:22]  | -system -Write Ranking[02/06/2024][11:51:22]  | -system -Write Ranking[02/06/2024][11:53:54]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:53:54]  | -system -Write Ranking[02/06/2024][11:53:54]  | -system -Write Ranking[02/06/2024][11:56:26]  | -system Read 708 ranking entries in 1.2 seconds.
[02/06/2024][11:56:26]  | -system -Write Ranking[02/06/2024][11:56:26]  | -system -Write Ranking[02/06/2024][11:58:58]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][11:58:58]  | -system -Write Ranking[02/06/2024][11:58:58]  | -system -Write Ranking[02/06/2024][12:01:34]  | -system Read 708 ranking entries in 1.18 seconds.
[02/06/2024][12:01:34]  | -system -Write Ranking[02/06/2024][12:01:34]  | -system -Write Ranking[02/06/2024][12:04:07]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][12:04:07]  | -system -Write Ranking[02/06/2024][12:04:07]  | -system -Write Ranking[02/06/2024][12:06:39]  | -system Read 708 ranking entries in 1.3 seconds.
[02/06/2024][12:06:39]  | -system -Write Ranking[02/06/2024][12:06:39]  | -system -Write Ranking[02/06/2024][12:09:13]  | -system Read 708 ranking entries in 1.3 seconds.
