[31/05/2024][11:15:38]  | -system start log[31/05/2024][11:18:10]  | -system Read 651 ranking entries in 0.47 seconds.
[31/05/2024][11:18:10]  | -system -Write Ranking[31/05/2024][11:18:10]  | -system -Write Ranking[31/05/2024][11:20:42]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:20:42]  | -system -Write Ranking[31/05/2024][11:20:42]  | -system -Write Ranking[31/05/2024][11:23:14]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:23:14]  | -system -Write Ranking[31/05/2024][11:23:14]  | -system -Write Ranking[31/05/2024][11:25:48]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:25:48]  | -system -Write Ranking[31/05/2024][11:25:48]  | -system -Write Ranking[31/05/2024][11:28:20]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:28:20]  | -system -Write Ranking[31/05/2024][11:28:20]  | -system -Write Ranking[31/05/2024][11:30:52]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:30:52]  | -system -Write Ranking[31/05/2024][11:30:52]  | -system -Write Ranking[31/05/2024][11:33:24]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:33:24]  | -system -Write Ranking[31/05/2024][11:33:24]  | -system -Write Ranking[31/05/2024][11:35:56]  | -system Read 651 ranking entries in 0.47 seconds.
[31/05/2024][11:35:56]  | -system -Write Ranking[31/05/2024][11:35:56]  | -system -Write Ranking[31/05/2024][11:38:29]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:38:29]  | -system -Write Ranking[31/05/2024][11:38:29]  | -system -Write Ranking[31/05/2024][11:41:01]  | -system Read 651 ranking entries in 1.3 seconds.
[31/05/2024][11:41:01]  | -system -Write Ranking[31/05/2024][11:41:01]  | -system -Write Ranking[31/05/2024][11:43:34]  | -system Read 651 ranking entries in 1.2 seconds.
[31/05/2024][11:43:34]  | -system -Write Ranking[31/05/2024][11:43:34]  | -system -Write Ranking[31/05/2024][11:46:06]  | -system Read 651 ranking entries in 1.2 seconds.
[31/05/2024][11:46:06]  | -system -Write Ranking[31/05/2024][11:46:06]  | -system -Write Ranking[31/05/2024][11:48:38]  | -system Read 652 ranking entries in 1.2 seconds.
[31/05/2024][11:48:38]  | -system -Write Ranking[31/05/2024][11:48:38]  | -system -Write Ranking[31/05/2024][11:51:10]  | -system Read 652 ranking entries in 1.2 seconds.
[31/05/2024][11:51:10]  | -system -Write Ranking[31/05/2024][11:51:10]  | -system -Write Ranking[31/05/2024][11:53:42]  | -system Read 652 ranking entries in 1.18 seconds.
[31/05/2024][11:53:42]  | -system -Write Ranking[31/05/2024][11:53:42]  | -system -Write Ranking[31/05/2024][11:56:14]  | -system Read 652 ranking entries in 1.2 seconds.
[31/05/2024][11:56:14]  | -system -Write Ranking[31/05/2024][11:56:14]  | -system -Write Ranking[31/05/2024][11:58:46]  | -system Read 652 ranking entries in 1.2 seconds.
[31/05/2024][11:58:46]  | -system -Write Ranking[31/05/2024][11:58:46]  | -system -Write Ranking[31/05/2024][12:01:21]  | -system Read 653 ranking entries in 1.2 seconds.
[31/05/2024][12:01:21]  | -system -Write Ranking[31/05/2024][12:01:21]  | -system -Write Ranking[31/05/2024][12:03:56]  | -system Read 653 ranking entries in 1.3 seconds.
[31/05/2024][12:03:56]  | -system -Write Ranking[31/05/2024][12:03:56]  | -system -Write Ranking[31/05/2024][12:06:28]  | -system Read 654 ranking entries in 1.2 seconds.
[31/05/2024][12:06:28]  | -system -Write Ranking[31/05/2024][12:06:28]  | -system -Write Ranking[31/05/2024][12:09:00]  | -system Read 656 ranking entries in 1.2 seconds.
[31/05/2024][12:09:00]  | -system -Write Ranking[31/05/2024][12:09:00]  | -system -Write Ranking[31/05/2024][12:11:32]  | -system Read 657 ranking entries in 0.47 seconds.
[31/05/2024][12:11:32]  | -system -Write Ranking[31/05/2024][12:11:32]  | -system -Write Ranking[31/05/2024][12:14:04]  | -system Read 657 ranking entries in 1.18 seconds.
[31/05/2024][12:14:04]  | -system -Write Ranking[31/05/2024][12:14:04]  | -system -Write Ranking[31/05/2024][12:16:39]  | -system Read 657 ranking entries in 1.2 seconds.
[31/05/2024][12:16:39]  | -system -Write Ranking[31/05/2024][12:16:39]  | -system -Write Ranking[31/05/2024][12:19:12]  | -system Read 657 ranking entries in 1.2 seconds.
[31/05/2024][12:19:12]  | -system -Write Ranking[31/05/2024][12:19:12]  | -system -Write Ranking[31/05/2024][12:21:48]  | -system Read 657 ranking entries in 1.2 seconds.
[31/05/2024][12:21:48]  | -system -Write Ranking[31/05/2024][12:21:48]  | -system -Write Ranking[31/05/2024][12:24:20]  | -system Read 658 ranking entries in 1.2 seconds.
[31/05/2024][12:24:20]  | -system -Write Ranking[31/05/2024][12:24:20]  | -system -Write Ranking[31/05/2024][12:26:52]  | -system Read 658 ranking entries in 0.47 seconds.
[31/05/2024][12:26:52]  | -system -Write Ranking[31/05/2024][12:26:52]  | -system -Write Ranking[31/05/2024][12:29:24]  | -system Read 658 ranking entries in 1.2 seconds.
[31/05/2024][12:29:24]  | -system -Write Ranking[31/05/2024][12:29:24]  | -system -Write Ranking[31/05/2024][12:31:59]  | -system Read 658 ranking entries in 1.2 seconds.
[31/05/2024][12:31:59]  | -system -Write Ranking[31/05/2024][12:31:59]  | -system -Write Ranking[31/05/2024][12:34:31]  | -system Read 658 ranking entries in 1.2 seconds.
[31/05/2024][12:34:31]  | -system -Write Ranking[31/05/2024][12:34:31]  | -system -Write Ranking[31/05/2024][12:37:03]  | -system Read 658 ranking entries in 1.2 seconds.
[31/05/2024][12:37:03]  | -system -Write Ranking[31/05/2024][12:37:03]  | -system -Write Ranking[31/05/2024][12:39:35]  | -system Read 658 ranking entries in 0.47 seconds.
[31/05/2024][12:39:35]  | -system -Write Ranking[31/05/2024][12:39:35]  | -system -Write Ranking[31/05/2024][12:42:07]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][12:42:07]  | -system -Write Ranking[31/05/2024][12:42:07]  | -system -Write Ranking[31/05/2024][12:44:46]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][12:44:46]  | -system -Write Ranking[31/05/2024][12:44:46]  | -system -Write Ranking[31/05/2024][12:47:18]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][12:47:18]  | -system -Write Ranking[31/05/2024][12:47:18]  | -system -Write Ranking[31/05/2024][12:49:53]  | -system Read 659 ranking entries in 0.47 seconds.
[31/05/2024][12:49:53]  | -system -Write Ranking[31/05/2024][12:49:53]  | -system -Write Ranking[31/05/2024][12:52:25]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][12:52:25]  | -system -Write Ranking[31/05/2024][12:52:25]  | -system -Write Ranking[31/05/2024][12:54:57]  | -system Read 659 ranking entries in 1.18 seconds.
[31/05/2024][12:54:57]  | -system -Write Ranking[31/05/2024][12:54:57]  | -system -Write Ranking[31/05/2024][12:57:29]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][12:57:29]  | -system -Write Ranking[31/05/2024][12:57:29]  | -system -Write Ranking[31/05/2024][13:00:01]  | -system Read 659 ranking entries in 1.18 seconds.
[31/05/2024][13:00:01]  | -system -Write Ranking[31/05/2024][13:00:01]  | -system -Write Ranking[31/05/2024][13:02:33]  | -system Read 659 ranking entries in 1.18 seconds.
[31/05/2024][13:02:33]  | -system -Write Ranking[31/05/2024][13:02:33]  | -system -Write Ranking[31/05/2024][13:05:08]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][13:05:08]  | -system -Write Ranking[31/05/2024][13:05:08]  | -system -Write Ranking[31/05/2024][13:07:41]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][13:07:41]  | -system -Write Ranking[31/05/2024][13:07:41]  | -system -Write Ranking[31/05/2024][13:10:13]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][13:10:13]  | -system -Write Ranking[31/05/2024][13:10:13]  | -system -Write Ranking[31/05/2024][13:12:45]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][13:12:45]  | -system -Write Ranking[31/05/2024][13:12:45]  | -system -Write Ranking[31/05/2024][13:15:17]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][13:15:17]  | -system -Write Ranking[31/05/2024][13:15:17]  | -system -Write Ranking[31/05/2024][13:17:49]  | -system Read 659 ranking entries in 0.46 seconds.
[31/05/2024][13:17:49]  | -system -Write Ranking[31/05/2024][13:17:49]  | -system -Write Ranking[31/05/2024][13:20:23]  | -system Read 659 ranking entries in 0.47 seconds.
[31/05/2024][13:20:23]  | -system -Write Ranking[31/05/2024][13:20:23]  | -system -Write Ranking[31/05/2024][13:22:55]  | -system Read 659 ranking entries in 0.47 seconds.
[31/05/2024][13:22:55]  | -system -Write Ranking[31/05/2024][13:22:55]  | -system -Write Ranking[31/05/2024][13:25:29]  | -system Read 659 ranking entries in 1.2 seconds.
[31/05/2024][13:25:29]  | -system -Write Ranking[31/05/2024][13:25:29]  | -system -Write Ranking[31/05/2024][13:28:02]  | -system Read 660 ranking entries in 2.20 seconds.
[31/05/2024][13:28:02]  | -system -Write Ranking[31/05/2024][13:28:02]  | -system -Write Ranking[31/05/2024][13:30:34]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][13:30:34]  | -system -Write Ranking[31/05/2024][13:30:34]  | -system -Write Ranking[31/05/2024][13:33:06]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][13:33:06]  | -system -Write Ranking[31/05/2024][13:33:06]  | -system -Write Ranking[31/05/2024][13:35:40]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][13:35:40]  | -system -Write Ranking[31/05/2024][13:35:40]  | -system -Write Ranking[31/05/2024][13:38:12]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][13:38:12]  | -system -Write Ranking[31/05/2024][13:38:12]  | -system -Write Ranking[31/05/2024][13:40:45]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][13:40:45]  | -system -Write Ranking[31/05/2024][13:40:45]  | -system -Write Ranking[31/05/2024][13:43:17]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][13:43:17]  | -system -Write Ranking[31/05/2024][13:43:17]  | -system -Write Ranking[31/05/2024][13:45:52]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][13:45:52]  | -system -Write Ranking[31/05/2024][13:45:52]  | -system -Write Ranking[31/05/2024][13:48:24]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][13:48:24]  | -system -Write Ranking[31/05/2024][13:48:24]  | -system -Write Ranking[31/05/2024][13:50:56]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][13:50:56]  | -system -Write Ranking[31/05/2024][13:50:56]  | -system -Write Ranking[31/05/2024][13:53:30]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][13:53:30]  | -system -Write Ranking[31/05/2024][13:53:30]  | -system -Write Ranking[31/05/2024][13:56:02]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][13:56:02]  | -system -Write Ranking[31/05/2024][13:56:02]  | -system -Write Ranking[31/05/2024][13:58:36]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][13:58:36]  | -system -Write Ranking[31/05/2024][13:58:36]  | -system -Write Ranking[31/05/2024][14:01:12]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][14:01:12]  | -system -Write Ranking[31/05/2024][14:01:12]  | -system -Write Ranking[31/05/2024][14:03:44]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][14:03:44]  | -system -Write Ranking[31/05/2024][14:03:44]  | -system -Write Ranking[31/05/2024][14:06:18]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][14:06:18]  | -system -Write Ranking[31/05/2024][14:06:18]  | -system -Write Ranking[31/05/2024][14:08:52]  | -system Read 660 ranking entries in 0.47 seconds.
[31/05/2024][14:08:52]  | -system -Write Ranking[31/05/2024][14:08:52]  | -system -Write Ranking[31/05/2024][14:11:24]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][14:11:24]  | -system -Write Ranking[31/05/2024][14:11:24]  | -system -Write Ranking[31/05/2024][14:13:58]  | -system Read 660 ranking entries in 1.2 seconds.
[31/05/2024][14:13:58]  | -system -Write Ranking[31/05/2024][14:13:58]  | -system -Write Ranking[31/05/2024][14:16:32]  | -system Read 661 ranking entries in 1.2 seconds.
[31/05/2024][14:16:32]  | -system -Write Ranking[31/05/2024][14:16:32]  | -system -Write Ranking[31/05/2024][14:19:06]  | -system Read 661 ranking entries in 1.2 seconds.
[31/05/2024][14:19:06]  | -system -Write Ranking[31/05/2024][14:19:06]  | -system -Write Ranking[31/05/2024][14:21:39]  | -system Read 661 ranking entries in 1.2 seconds.
[31/05/2024][14:21:39]  | -system -Write Ranking[31/05/2024][14:21:39]  | -system -Write Ranking[31/05/2024][14:24:11]  | -system Read 661 ranking entries in 0.46 seconds.
[31/05/2024][14:24:11]  | -system -Write Ranking[31/05/2024][14:24:11]  | -system -Write Ranking[31/05/2024][14:26:43]  | -system Read 661 ranking entries in 1.18 seconds.
[31/05/2024][14:26:43]  | -system -Write Ranking[31/05/2024][14:26:43]  | -system -Write Ranking[31/05/2024][14:29:15]  | -system Read 661 ranking entries in 0.46 seconds.
[31/05/2024][14:29:15]  | -system -Write Ranking[31/05/2024][14:29:15]  | -system -Write Ranking[31/05/2024][14:31:47]  | -system Read 661 ranking entries in 1.2 seconds.
[31/05/2024][14:31:47]  | -system -Write Ranking[31/05/2024][14:31:47]  | -system -Write Ranking[31/05/2024][14:34:19]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:34:19]  | -system -Write Ranking[31/05/2024][14:34:19]  | -system -Write Ranking[31/05/2024][14:36:53]  | -system Read 662 ranking entries in 1.18 seconds.
[31/05/2024][14:36:53]  | -system -Write Ranking[31/05/2024][14:36:53]  | -system -Write Ranking[31/05/2024][14:39:28]  | -system Read 662 ranking entries in 1.3 seconds.
[31/05/2024][14:39:28]  | -system -Write Ranking[31/05/2024][14:39:28]  | -system -Write Ranking[31/05/2024][14:42:00]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:42:00]  | -system -Write Ranking[31/05/2024][14:42:00]  | -system -Write Ranking[31/05/2024][14:44:37]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:44:37]  | -system -Write Ranking[31/05/2024][14:44:37]  | -system -Write Ranking[31/05/2024][14:47:09]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:47:09]  | -system -Write Ranking[31/05/2024][14:47:09]  | -system -Write Ranking[31/05/2024][14:49:41]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:49:41]  | -system -Write Ranking[31/05/2024][14:49:41]  | -system -Write Ranking[31/05/2024][14:52:13]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:52:13]  | -system -Write Ranking[31/05/2024][14:52:13]  | -system -Write Ranking[31/05/2024][14:54:45]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:54:45]  | -system -Write Ranking[31/05/2024][14:54:45]  | -system -Write Ranking[31/05/2024][14:57:17]  | -system Read 662 ranking entries in 0.46 seconds.
[31/05/2024][14:57:17]  | -system -Write Ranking[31/05/2024][14:57:17]  | -system -Write Ranking[31/05/2024][14:59:53]  | -system Read 662 ranking entries in 1.2 seconds.
[31/05/2024][14:59:53]  | -system -Write Ranking[31/05/2024][14:59:53]  | -system -Write Ranking[31/05/2024][15:02:30]  | -system Read 662 ranking entries in 0.46 seconds.
[31/05/2024][15:02:30]  | -system -Write Ranking[31/05/2024][15:02:30]  | -system -Write Ranking[31/05/2024][15:05:02]  | -system Read 662 ranking entries in 1.2 seconds.
