[29/05/2024][14:58:42]  | -system start log[29/05/2024][15:01:16]  | -system Read 571 ranking entries in 0.46 seconds.
[29/05/2024][15:01:16]  | -system -Write Ranking[29/05/2024][15:01:16]  | -system -Write Ranking[29/05/2024][15:03:50]  | -system Read 571 ranking entries in 1.2 seconds.
[29/05/2024][15:03:50]  | -system -Write Ranking[29/05/2024][15:03:50]  | -system -Write Ranking[29/05/2024][15:06:23]  | -system Read 571 ranking entries in 0.46 seconds.
[29/05/2024][15:06:23]  | -system -Write Ranking[29/05/2024][15:06:23]  | -system -Write Ranking[29/05/2024][15:08:55]  | -system Read 571 ranking entries in 1.2 seconds.
[29/05/2024][15:08:55]  | -system -Write Ranking[29/05/2024][15:08:55]  | -system -Write Ranking[29/05/2024][15:11:27]  | -system Read 571 ranking entries in 0.46 seconds.
[29/05/2024][15:11:27]  | -system -Write Ranking[29/05/2024][15:11:27]  | -system -Write Ranking[29/05/2024][15:14:00]  | -system Read 571 ranking entries in 0.46 seconds.
[29/05/2024][15:14:00]  | -system -Write Ranking[29/05/2024][15:14:00]  | -system -Write Ranking[29/05/2024][15:16:32]  | -system Read 571 ranking entries in 0.46 seconds.
[29/05/2024][15:16:32]  | -system -Write Ranking[29/05/2024][15:16:32]  | -system -Write Ranking[29/05/2024][15:19:04]  | -system Read 571 ranking entries in 0.47 seconds.
[29/05/2024][15:19:04]  | -system -Write Ranking[29/05/2024][15:19:04]  | -system -Write Ranking[29/05/2024][15:21:36]  | -system Read 571 ranking entries in 1.3 seconds.
[29/05/2024][15:21:36]  | -system -Write Ranking[29/05/2024][15:21:36]  | -system -Write Ranking[29/05/2024][15:24:08]  | -system Read 571 ranking entries in 1.3 seconds.
[29/05/2024][15:24:08]  | -system -Write Ranking[29/05/2024][15:24:08]  | -system -Write Ranking[29/05/2024][15:26:40]  | -system Read 571 ranking entries in 1.3 seconds.
[29/05/2024][15:26:40]  | -system -Write Ranking[29/05/2024][15:26:40]  | -system -Write Ranking[29/05/2024][15:29:12]  | -system Read 571 ranking entries in 0.47 seconds.
[29/05/2024][15:29:12]  | -system -Write Ranking[29/05/2024][15:29:12]  | -system -Write Ranking[29/05/2024][15:31:44]  | -system Read 571 ranking entries in 0.47 seconds.
[29/05/2024][15:31:44]  | -system -Write Ranking[29/05/2024][15:31:44]  | -system -Write Ranking[29/05/2024][15:34:16]  | -system Read 571 ranking entries in 0.47 seconds.
[29/05/2024][15:34:16]  | -system -Write Ranking[29/05/2024][15:34:16]  | -system -Write Ranking[29/05/2024][15:36:48]  | -system Read 571 ranking entries in 0.47 seconds.
[29/05/2024][15:36:48]  | -system -Write Ranking[29/05/2024][15:36:48]  | -system -Write Ranking[29/05/2024][15:39:21]  | -system Read 571 ranking entries in 0.47 seconds.
[29/05/2024][15:39:21]  | -system -Write Ranking[29/05/2024][15:39:21]  | -system -Write Ranking[29/05/2024][15:41:53]  | -system Read 572 ranking entries in 0.47 seconds.
[29/05/2024][15:41:53]  | -system -Write Ranking[29/05/2024][15:41:53]  | -system -Write Ranking[29/05/2024][15:44:25]  | -system Read 572 ranking entries in 0.47 seconds.
[29/05/2024][15:44:25]  | -system -Write Ranking[29/05/2024][15:44:25]  | -system -Write Ranking[29/05/2024][15:46:57]  | -system Read 572 ranking entries in 0.47 seconds.
[29/05/2024][15:46:57]  | -system -Write Ranking[29/05/2024][15:46:57]  | -system -Write Ranking[29/05/2024][15:49:29]  | -system Read 573 ranking entries in 0.47 seconds.
[29/05/2024][15:49:29]  | -system -Write Ranking[29/05/2024][15:49:29]  | -system -Write Ranking[29/05/2024][15:52:03]  | -system Read 573 ranking entries in 1.3 seconds.
[29/05/2024][15:52:03]  | -system -Write Ranking[29/05/2024][15:52:03]  | -system -Write Ranking[29/05/2024][15:54:35]  | -system Read 573 ranking entries in 0.47 seconds.
[29/05/2024][15:54:35]  | -system -Write Ranking[29/05/2024][15:54:35]  | -system -Write Ranking[29/05/2024][15:57:08]  | -system Read 573 ranking entries in 1.3 seconds.
[29/05/2024][15:57:08]  | -system -Write Ranking[29/05/2024][15:57:08]  | -system -Write Ranking[29/05/2024][15:59:43]  | -system Read 573 ranking entries in 0.47 seconds.
