[17/05/2024][20:31:43]  | -system start log[17/05/2024][20:34:15]  | -system Read 66 ranking entries in 0.0 seconds.
[17/05/2024][20:34:15]  | -system -Write Ranking[17/05/2024][20:34:15]  | -system -Write Ranking[17/05/2024][20:36:47]  | -system Read 66 ranking entries in 0.0 seconds.
[17/05/2024][20:36:47]  | -system -Write Ranking[17/05/2024][20:36:47]  | -system -Write Ranking[17/05/2024][20:39:20]  | -system Read 67 ranking entries in 0.0 seconds.
[17/05/2024][20:39:20]  | -system -Write Ranking[17/05/2024][20:39:20]  | -system -Write Ranking[17/05/2024][20:41:52]  | -system Read 67 ranking entries in 0.0 seconds.
[17/05/2024][20:41:52]  | -system -Write Ranking[17/05/2024][20:41:52]  | -system -Write Ranking[17/05/2024][20:44:24]  | -system Read 67 ranking entries in 0.0 seconds.
[17/05/2024][20:44:24]  | -system -Write Ranking[17/05/2024][20:44:24]  | -system -Write Ranking[17/05/2024][20:46:56]  | -system Read 69 ranking entries in 0.0 seconds.
[17/05/2024][20:46:56]  | -system -Write Ranking[17/05/2024][20:46:56]  | -system -Write Ranking[17/05/2024][20:49:28]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][20:49:28]  | -system -Write Ranking[17/05/2024][20:49:28]  | -system -Write Ranking[17/05/2024][20:52:00]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][20:52:00]  | -system -Write Ranking[17/05/2024][20:52:00]  | -system -Write Ranking[17/05/2024][20:54:32]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][20:54:32]  | -system -Write Ranking[17/05/2024][20:54:32]  | -system -Write Ranking[17/05/2024][20:57:04]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][20:57:04]  | -system -Write Ranking[17/05/2024][20:57:04]  | -system -Write Ranking[17/05/2024][20:59:36]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][20:59:36]  | -system -Write Ranking[17/05/2024][20:59:36]  | -system -Write Ranking[17/05/2024][21:02:08]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][21:02:08]  | -system -Write Ranking[17/05/2024][21:02:08]  | -system -Write Ranking[17/05/2024][21:04:41]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][21:04:41]  | -system -Write Ranking[17/05/2024][21:04:41]  | -system -Write Ranking[17/05/2024][21:07:13]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][21:07:13]  | -system -Write Ranking[17/05/2024][21:07:13]  | -system -Write Ranking[17/05/2024][21:09:45]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][21:09:45]  | -system -Write Ranking[17/05/2024][21:09:45]  | -system -Write Ranking[17/05/2024][21:11:10]  | SARGENTO err createchar EEXIST[17/05/2024][21:11:21]  | SARGENTO err createchar EEXIST[17/05/2024][21:12:17]  | -system Read 69 ranking entries in 0.0 seconds.
[17/05/2024][21:12:17]  | -system -Write Ranking[17/05/2024][21:12:17]  | -system -Write Ranking[17/05/2024][21:12:35]  | SARGENTO err createchar EEXIST[17/05/2024][21:13:22]  | SARGENTO err createchar EEXIST[17/05/2024][21:13:37]  | SARGENTO err createchar EEXIST[17/05/2024][21:14:49]  | -system Read 69 ranking entries in 0.0 seconds.
[17/05/2024][21:14:49]  | -system -Write Ranking[17/05/2024][21:14:49]  | -system -Write Ranking[17/05/2024][21:15:23]  | SARGENTO err createchar EEXIST[17/05/2024][21:17:21]  | -system Read 70 ranking entries in 0.0 seconds.
[17/05/2024][21:17:21]  | -system -Write Ranking[17/05/2024][21:17:21]  | -system -Write Ranking[17/05/2024][21:19:53]  | -system Read 71 ranking entries in 0.16 seconds.
[17/05/2024][21:19:53]  | -system -Write Ranking[17/05/2024][21:19:53]  | -system -Write Ranking[17/05/2024][21:22:25]  | -system Read 72 ranking entries in 0.0 seconds.
[17/05/2024][21:22:25]  | -system -Write Ranking[17/05/2024][21:22:25]  | -system -Write Ranking[17/05/2024][21:24:57]  | -system Read 72 ranking entries in 0.0 seconds.
[17/05/2024][21:24:57]  | -system -Write Ranking[17/05/2024][21:24:57]  | -system -Write Ranking[17/05/2024][21:27:30]  | -system Read 72 ranking entries in 0.0 seconds.
[17/05/2024][21:27:30]  | -system -Write Ranking[17/05/2024][21:27:30]  | -system -Write Ranking[17/05/2024][21:30:02]  | -system Read 72 ranking entries in 0.0 seconds.
[17/05/2024][21:30:02]  | -system -Write Ranking[17/05/2024][21:30:02]  | -system -Write Ranking[17/05/2024][21:32:34]  | -system Read 72 ranking entries in 0.0 seconds.
[17/05/2024][21:32:34]  | -system -Write Ranking[17/05/2024][21:32:34]  | -system -Write Ranking[17/05/2024][21:35:06]  | -system Read 72 ranking entries in 0.0 seconds.
[17/05/2024][21:35:06]  | -system -Write Ranking[17/05/2024][21:35:06]  | -system -Write Ranking[17/05/2024][21:37:38]  | -system Read 74 ranking entries in 0.0 seconds.
[17/05/2024][21:37:38]  | -system -Write Ranking[17/05/2024][21:37:38]  | -system -Write Ranking[17/05/2024][21:40:10]  | -system Read 76 ranking entries in 0.0 seconds.
[17/05/2024][21:40:10]  | -system -Write Ranking[17/05/2024][21:40:10]  | -system -Write Ranking[17/05/2024][21:42:42]  | -system Read 76 ranking entries in 0.0 seconds.
[17/05/2024][21:42:42]  | -system -Write Ranking[17/05/2024][21:42:42]  | -system -Write Ranking[17/05/2024][21:45:14]  | -system Read 77 ranking entries in 0.0 seconds.
[17/05/2024][21:45:14]  | -system -Write Ranking[17/05/2024][21:45:14]  | -system -Write Ranking[17/05/2024][21:47:46]  | -system Read 77 ranking entries in 0.0 seconds.
[17/05/2024][21:47:46]  | -system -Write Ranking[17/05/2024][21:47:46]  | -system -Write Ranking[17/05/2024][21:50:18]  | -system Read 78 ranking entries in 0.0 seconds.
[17/05/2024][21:50:18]  | -system -Write Ranking[17/05/2024][21:50:18]  | -system -Write Ranking[17/05/2024][21:52:53]  | -system Read 78 ranking entries in 0.0 seconds.
[17/05/2024][21:52:53]  | -system -Write Ranking[17/05/2024][21:52:53]  | -system -Write Ranking[17/05/2024][21:55:25]  | -system Read 78 ranking entries in 0.0 seconds.
[17/05/2024][21:55:25]  | -system -Write Ranking[17/05/2024][21:55:25]  | -system -Write Ranking[17/05/2024][21:57:57]  | -system Read 78 ranking entries in 0.0 seconds.
[17/05/2024][21:57:57]  | -system -Write Ranking[17/05/2024][21:57:57]  | -system -Write Ranking[17/05/2024][22:00:29]  | -system Read 79 ranking entries in 0.0 seconds.
[17/05/2024][22:00:29]  | -system -Write Ranking[17/05/2024][22:00:29]  | -system -Write Ranking[17/05/2024][22:03:01]  | -system Read 80 ranking entries in 0.15 seconds.
[17/05/2024][22:03:01]  | -system -Write Ranking[17/05/2024][22:03:01]  | -system -Write Ranking[17/05/2024][22:05:33]  | -system Read 80 ranking entries in 0.0 seconds.
[17/05/2024][22:05:33]  | -system -Write Ranking[17/05/2024][22:05:33]  | -system -Write Ranking[17/05/2024][22:08:05]  | -system Read 81 ranking entries in 0.0 seconds.
[17/05/2024][22:08:05]  | -system -Write Ranking[17/05/2024][22:08:05]  | -system -Write Ranking[17/05/2024][22:10:37]  | -system Read 81 ranking entries in 0.0 seconds.
[17/05/2024][22:10:37]  | -system -Write Ranking[17/05/2024][22:10:37]  | -system -Write Ranking[17/05/2024][22:13:09]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:13:09]  | -system -Write Ranking[17/05/2024][22:13:09]  | -system -Write Ranking[17/05/2024][22:15:41]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:15:41]  | -system -Write Ranking[17/05/2024][22:15:41]  | -system -Write Ranking[17/05/2024][22:18:14]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:18:14]  | -system -Write Ranking[17/05/2024][22:18:14]  | -system -Write Ranking[17/05/2024][22:20:46]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:20:46]  | -system -Write Ranking[17/05/2024][22:20:46]  | -system -Write Ranking[17/05/2024][22:23:18]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:23:18]  | -system -Write Ranking[17/05/2024][22:23:18]  | -system -Write Ranking[17/05/2024][22:25:50]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:25:50]  | -system -Write Ranking[17/05/2024][22:25:50]  | -system -Write Ranking[17/05/2024][22:28:22]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:28:22]  | -system -Write Ranking[17/05/2024][22:28:22]  | -system -Write Ranking[17/05/2024][22:30:54]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:30:54]  | -system -Write Ranking[17/05/2024][22:30:54]  | -system -Write Ranking[17/05/2024][22:33:26]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:33:26]  | -system -Write Ranking[17/05/2024][22:33:26]  | -system -Write Ranking[17/05/2024][22:36:00]  | -system Read 82 ranking entries in 0.0 seconds.
[17/05/2024][22:36:00]  | -system -Write Ranking[17/05/2024][22:36:00]  | -system -Write Ranking[17/05/2024][22:38:32]  | -system Read 83 ranking entries in 0.0 seconds.
[17/05/2024][22:38:32]  | -system -Write Ranking[17/05/2024][22:38:32]  | -system -Write Ranking[17/05/2024][22:41:04]  | -system Read 83 ranking entries in 0.0 seconds.
[17/05/2024][22:41:05]  | -system -Write Ranking[17/05/2024][22:41:05]  | -system -Write Ranking[17/05/2024][22:43:37]  | -system Read 86 ranking entries in 0.0 seconds.
[17/05/2024][22:43:37]  | -system -Write Ranking[17/05/2024][22:43:37]  | -system -Write Ranking[17/05/2024][22:46:09]  | -system Read 86 ranking entries in 0.16 seconds.
[17/05/2024][22:46:09]  | -system -Write Ranking[17/05/2024][22:46:09]  | -system -Write Ranking[17/05/2024][22:48:41]  | -system Read 87 ranking entries in 0.0 seconds.
[17/05/2024][22:48:41]  | -system -Write Ranking[17/05/2024][22:48:41]  | -system -Write Ranking[17/05/2024][22:51:13]  | -system Read 87 ranking entries in 0.0 seconds.
[17/05/2024][22:51:13]  | -system -Write Ranking[17/05/2024][22:51:13]  | -system -Write Ranking[17/05/2024][22:53:45]  | -system Read 87 ranking entries in 0.0 seconds.
[17/05/2024][22:53:45]  | -system -Write Ranking[17/05/2024][22:53:45]  | -system -Write Ranking[17/05/2024][22:56:17]  | -system Read 87 ranking entries in 0.0 seconds.
[17/05/2024][22:56:17]  | -system -Write Ranking[17/05/2024][22:56:17]  | -system -Write Ranking[17/05/2024][22:58:49]  | -system Read 87 ranking entries in 0.0 seconds.
[17/05/2024][22:58:49]  | -system -Write Ranking[17/05/2024][22:58:49]  | -system -Write Ranking[17/05/2024][23:01:21]  | -system Read 88 ranking entries in 0.0 seconds.
[17/05/2024][23:01:21]  | -system -Write Ranking[17/05/2024][23:01:21]  | -system -Write Ranking[17/05/2024][23:03:53]  | -system Read 88 ranking entries in 0.0 seconds.
[17/05/2024][23:03:53]  | -system -Write Ranking[17/05/2024][23:03:53]  | -system -Write Ranking[17/05/2024][23:06:25]  | -system Read 88 ranking entries in 0.0 seconds.
[17/05/2024][23:06:25]  | -system -Write Ranking[17/05/2024][23:06:25]  | -system -Write Ranking[17/05/2024][23:08:58]  | -system Read 88 ranking entries in 0.0 seconds.
[17/05/2024][23:08:58]  | -system -Write Ranking[17/05/2024][23:08:58]  | -system -Write Ranking[17/05/2024][23:11:30]  | -system Read 88 ranking entries in 0.0 seconds.
[17/05/2024][23:11:30]  | -system -Write Ranking[17/05/2024][23:11:30]  | -system -Write Ranking[17/05/2024][23:14:02]  | -system Read 88 ranking entries in 0.0 seconds.
[17/05/2024][23:14:02]  | -system -Write Ranking[17/05/2024][23:14:02]  | -system -Write Ranking[17/05/2024][23:16:34]  | -system Read 88 ranking entries in 0.0 seconds.
